Alpha	Beta	Delta	Sigma	Theta	Artef	R	REM
0	2	3	12	0	0	1	0
1	1	4	23	0	0	1	0
0	2	5	15	0	0	0	0
0	3	5	8	0	0	2	0
2	7	1	10	0	0	0	1
0	7	4	18	0	0	0	0
0	7	3	11	0	0	1	0
0	12	2	12	0	0	0	1
0	17	4	3	0	0	0	0
0	11	6	5	0	0	1	2
0	15	4	9	0	0	0	0
0	14	1	10	0	0	2	0
0	20	3	13	0	0	2	1
0	20	3	11	0	0	0	1
0	23	5	5	0	0	0	1
0	17	3	6	0	0	0	0
0	22	5	16	0	0	0	0
0	32	1	19	0	0	2	0
0	24	2	13	0	0	1	0
0	23	6	11	0	0	0	0
0	30	3	5	0	0	1	1
0	29	0	8	0	0	2	0
0	23	1	6	12	0	1	0
0	4	1	0	7	0	1	0
1	1	0	8	26	1	0	0
0	6	2	3	0	0	0	0
0	2	0	0	0	0	0	0
0	1	1	27	0	0	0	0
0	2	1	3	0	0	0	0
0	1	2	5	0	0	0	0
0	3	1	14	0	0	0	0
0	3	3	19	0	0	1	0
0	2	4	5	0	0	0	0
0	4	1	4	11	0	0	0
0	4	3	20	0	0	0	0
0	2	2	1	0	0	0	0
0	5	4	3	0	0	0	0
0	4	2	8	5	0	1	0
0	5	2	10	0	0	0	1
0	5	2	3	0	0	1	0
0	1	2	11	0	0	0	0
0	3	4	5	0	0	1	0
1	4	3	8	0	0	0	0
1	2	1	5	0	0	0	0
0	1	3	0	0	0	1	0
0	2	2	0	0	0	1	0
0	4	2	15	0	0	0	0
0	5	2	11	0	0	1	0
0	7	2	4	0	0	0	1
0	3	2	9	0	1	3	0
0	6	0	0	40	0	0	1
1	0	1	11	0	0	0	0
0	0	2	5	0	0	0	0
2	2	0	14	0	0	0	0
0	1	1	5	0	0	0	0
1	3	0	9	0	0	0	0
0	2	2	7	0	0	1	0
0	1	2	9	0	0	1	0
0	3	5	5	0	0	0	0
1	1	1	5	3	2	0	0
1	3	3	17	0	0	0	0
1	4	3	12	0	0	0	1
0	1	0	20	0	0	0	0
4	0	0	32	0	0	0	0
5	2	0	5	0	0	0	0
5	0	0	17	0	0	0	0
1	0	0	13	0	1	1	0
3	1	0	6	0	1	2	0
0	2	0	14	0	0	1	0
3	0	0	9	0	0	3	0
5	2	0	8	8	1	0	0
4	0	0	14	0	0	0	0
6	0	0	23	0	0	0	0
2	0	0	3	0	0	1	0
2	0	0	0	0	2	1	0
2	0	0	23	0	0	1	0
1	2	0	12	6	4	0	0
7	0	0	20	0	0	1	0
4	0	0	15	0	0	0	0
3	0	0	13	0	0	2	0
7	0	0	15	0	0	3	0
4	0	0	9	0	1	2	0
3	1	0	8	1	0	4	0
3	0	0	15	0	1	5	0
2	0	0	19	0	1	4	0
2	1	0	24	0	0	3	0
8	6	0	7	4	0	0	0
3	0	0	2	0	0	0	0
5	1	0	13	0	0	1	0
1	1	0	12	0	0	4	0
10	4	0	8	7	1	0	1
6	0	0	4	0	0	0	0
5	0	0	11	0	1	0	0
10	0	0	18	0	0	0	0
13	0	0	11	2	0	0	0
3	0	0	15	2	0	0	0
7	0	0	21	0	0	0	0
5	0	0	20	0	0	0	0
12	1	0	27	0	0	0	0
10	0	0	20	0	0	0	0
4	1	0	21	0	0	0	0
5	0	0	16	0	0	0	0
8	2	0	13	0	1	0	0
4	0	0	11	0	0	0	0
4	0	0	21	0	0	0	0
6	3	0	6	14	0	0	0
9	1	0	0	10	0	0	0
9	14	0	8	0	0	0	0
